path,split,orig_group,review_cat_zh,review_cat,causeless,uniform_fallen,uniform_lie_down,labels_16,frames,pred_fall,pred_fallen,pred_normal,decision
fall/fall_el_019,train,uniform_fallen,躺下动作,lie_down,True,True,False,fallen,fallen:81,,,,keep
fall/fall_el_112,val,uniform_lie_down,躺下动作,lie_down,False,False,True,lie_down,lie_down:81,,,,keep
fall/fall_el_160,val,uniform_lie_down,躺下动作,lie_down,False,False,True,lie_down,lie_down:81,,,,keep
fall/fall_mi_182,train,causeless_mixed,跌倒,fall,True,False,False,lying+stand_up+standing+other,lying:11/stand_up:26/standing:14/other:30,,,,keep
fall/fall_mi_184,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fall/fall_te_186,train,causeless_mixed,躺着到站起来,lie_to_stand,True,False,False,fallen+stand_up+standing,fallen:10/stand_up:39/standing:32,,,,keep
fall/fall_yo_024,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_ch_012,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_ch_013,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_ch_019,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_ch_023,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_ch_027,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_ch_034,val,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_ch_042,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_ch_043,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_ch_052,val,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_ch_053,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_ch_056,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_ch_057,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_ch_067,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_ch_069,train,uniform_fallen,跌倒,fall,True,True,False,fallen,fallen:81,,,,keep
fallen/fallen_ch_073,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_ch_074,train,causeless_lying,全程保持躺着,keep_lying,True,False,False,lying,lying:81,,,,remove
fallen/fallen_ch_076,val,causeless_mixed,全程保持躺着,keep_lying,True,False,False,fallen+stand_up,fallen:54/stand_up:27,,,,remove
fallen/fallen_ch_079,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_ch_082,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_ch_092,test,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,0.0,80.0,0.0,remove
fallen/fallen_ch_096,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_ch_115,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_ch_116,test,causeless_lying,全程保持躺着,keep_lying,True,False,False,lying,lying:81,4.0,76.0,0.0,remove
fallen/fallen_ch_123,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_ch_127,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_ch_130,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_ch_133,train,causeless_mixed,全程保持躺着,keep_lying,True,False,False,lying+stand_up,lying:74/stand_up:7,,,,remove
fallen/fallen_ch_137,val,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_ch_143,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_ch_153,train,causeless_lying,全程保持躺着,keep_lying,True,False,False,lying,lying:81,,,,remove
fallen/fallen_ch_159,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_ch_164,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_ch_169,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_ch_184,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_ch_188,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_ch_197,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_el_017,train,causeless_lying,全程保持躺着,keep_lying,True,False,False,lying,lying:81,,,,remove
fallen/fallen_el_024,train,uniform_fallen,跌倒,fall,True,True,False,fallen,fallen:81,,,,keep
fallen/fallen_el_039,val,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_el_057,train,causeless_mixed,全程保持躺着,keep_lying,True,False,False,fallen+stand_up,fallen:46/stand_up:35,,,,remove
fallen/fallen_el_066,val,uniform_fallen,跌倒,fall,True,True,False,fallen,fallen:81,,,,keep
fallen/fallen_el_087,train,uniform_fallen,躺下动作,lie_down,True,True,False,fallen,fallen:81,,,,keep
fallen/fallen_el_103,val,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_el_109,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_el_111,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_el_117,train,uniform_fallen,跌倒,fall,True,True,False,fallen,fallen:81,,,,keep
fallen/fallen_el_135,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_el_147,train,uniform_fallen,跌倒,fall,True,True,False,fallen,fallen:81,,,,keep
fallen/fallen_el_155,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_el_171,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_el_174,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_el_180,train,uniform_fallen,躺下到坐起来,lie_down_to_sit,True,True,False,fallen,fallen:81,,,,keep
fallen/fallen_el_190,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_mi_003,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_mi_018,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_mi_027,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_mi_031,train,causeless_lying,全程保持躺着,keep_lying,True,False,False,lying,lying:81,,,,remove
fallen/fallen_mi_041,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_mi_050,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_mi_073,train,uniform_fallen,跌倒,fall,True,True,False,fallen,fallen:81,,,,keep
fallen/fallen_mi_093,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_mi_094,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_mi_104,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_mi_117,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_mi_129,train,causeless_mixed,全程保持躺着,keep_lying,True,False,False,fallen+stand_up,fallen:74/stand_up:7,,,,remove
fallen/fallen_mi_130,test,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,10.0,55.0,15.0,remove
fallen/fallen_mi_143,train,uniform_fallen,跌倒,fall,True,True,False,fallen,fallen:81,,,,keep
fallen/fallen_mi_151,train,uniform_fallen,躺下到坐起来,lie_down_to_sit,True,True,False,fallen,fallen:81,,,,keep
fallen/fallen_mi_158,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_mi_171,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_mi_186,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_mi_189,train,causeless_lying,全程保持躺着,keep_lying,True,False,False,lying,lying:81,,,,remove
fallen/fallen_mi_195,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_te_013,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_te_018,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_te_022,val,uniform_fallen,跌倒,fall,True,True,False,fallen,fallen:81,,,,keep
fallen/fallen_te_030,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_te_037,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_te_042,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_te_048,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_te_052,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_te_057,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_te_060,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_te_065,val,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_te_076,train,uniform_fallen,躺下动作,lie_down,True,True,False,fallen,fallen:81,,,,keep
fallen/fallen_te_078,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_te_082,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_te_084,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_te_094,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_te_095,test,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,0.0,80.0,0.0,remove
fallen/fallen_te_100,test,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,0.0,0.0,80.0,remove
fallen/fallen_te_108,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_te_112,val,causeless_mixed,跌倒,fall,True,False,False,fallen+other,fallen:60/other:21,,,,keep
fallen/fallen_te_116,train,uniform_lie_down,躺下动作,lie_down,False,False,True,lie_down,lie_down:81,,,,keep
fallen/fallen_te_126,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_te_142,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_te_153,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_te_156,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_te_174,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_te_175,train,causeless_lying,全程保持躺着,keep_lying,True,False,False,lying,lying:81,,,,remove
fallen/fallen_te_176,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_te_182,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_te_185,train,causeless_mixed,全程保持躺着,keep_lying,True,False,False,fallen+stand_up,fallen:48/stand_up:33,,,,remove
fallen/fallen_te_193,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_te_195,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_to_001,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_to_002,val,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_to_010,val,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_to_014,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_to_016,train,uniform_fallen,躺下动作,lie_down,True,True,False,fallen,fallen:81,,,,keep
fallen/fallen_to_018,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_to_022,train,causeless_mixed,全程保持躺着,keep_lying,True,False,False,fallen+stand_up,fallen:58/stand_up:23,,,,remove
fallen/fallen_to_024,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_to_025,val,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_to_032,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_to_036,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_to_037,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_to_040,val,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_to_045,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_to_046,test,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,0.0,80.0,0.0,remove
fallen/fallen_to_051,val,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_to_053,train,causeless_lying,全程保持躺着,keep_lying,True,False,False,lying,lying:81,,,,remove
fallen/fallen_to_058,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_to_062,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_to_070,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_to_071,train,causeless_lying,全程保持躺着,keep_lying,True,False,False,lying,lying:81,,,,remove
fallen/fallen_to_073,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_to_074,test,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,0.0,67.0,13.0,remove
fallen/fallen_to_075,train,uniform_fallen,躺下动作,lie_down,True,True,False,fallen,fallen:81,,,,keep
fallen/fallen_to_079,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_to_080,train,causeless_lying,全程保持躺着,keep_lying,True,False,False,lying,lying:81,,,,remove
fallen/fallen_to_081,train,uniform_fallen,躺下动作,lie_down,True,True,False,fallen,fallen:81,,,,keep
fallen/fallen_to_087,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_to_102,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_to_107,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_to_118,train,causeless_mixed,全程保持躺着,keep_lying,True,False,False,fallen+stand_up,fallen:58/stand_up:23,,,,remove
fallen/fallen_to_131,train,uniform_fallen,躺下动作,lie_down,True,True,False,fallen,fallen:81,,,,keep
fallen/fallen_to_138,train,uniform_fallen,跌倒,fall,True,True,False,fallen,fallen:81,,,,keep
fallen/fallen_to_155,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_to_163,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_to_167,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_to_168,test,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,22.0,50.0,8.0,remove
fallen/fallen_to_171,test,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,0.0,80.0,0.0,remove
fallen/fallen_to_175,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_to_177,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_to_181,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_to_182,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_to_188,train,causeless_lying,全程保持躺着,keep_lying,True,False,False,lying,lying:81,,,,remove
fallen/fallen_to_194,train,causeless_mixed,躺着到坐起来,lie_to_sit,True,False,False,fallen+stand_up,fallen:36/stand_up:45,,,,keep
fallen/fallen_yo_004,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_yo_006,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_yo_016,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_yo_022,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_yo_037,test,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,0.0,80.0,0.0,remove
fallen/fallen_yo_038,train,causeless_mixed,全程保持躺着,keep_lying,True,False,False,fallen+stand_up,fallen:17/stand_up:64,,,,remove
fallen/fallen_yo_048,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_yo_058,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_yo_078,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_yo_082,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_yo_087,test,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,0.0,80.0,0.0,remove
fallen/fallen_yo_109,val,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
fallen/fallen_yo_111,train,uniform_fallen,全程保持躺着,keep_lying,True,True,False,fallen,fallen:81,,,,remove
